"","Category ID","Category Name","#Genes Category","#Genes Assigned","#Genes Expected","#Genes Enriched","p-value","Corrected p-value","Fold"
"1","GO:0001909","leukocyte mediated cytotoxicity",34,8,1.1,6.9,8.1e-06,0.004,7.3
"2","GO:0001906","cell killing",50,9,1.6,7.4,2.2e-05,0.004,5.6
"3","GO:0002443","leukocyte mediated immunity",93,12,3,9,3.1e-05,0.008,4
"4","GO:0031341","regulation of cell killing",31,7,1,6,4.1e-05,0.016,7
"5","GO:0031343","positive regulation of cell killing",22,6,0.7,5.3,4.8e-05,0.02,8.4
"6","GO:0002703","regulation of leukocyte mediated immunity",58,9,1.9,7.1,7.6e-05,0.032,4.8
"7","GO:0065008","regulation of biological quality",618,36,20,16,1e-04,0.046,1.8
"8","GO:0042267","natural killer cell mediated cytotoxicity",16,5,0.5,4.5,1e-04,0.052,9.7
"9","GO:0001913","T cell mediated cytotoxicity",16,5,0.5,4.5,1e-04,0.052,9.7
"10","GO:0001910","regulation of leukocyte mediated cytotoxicity",25,6,0.8,5.2,0.00011,0.056,7.4
"11","GO:0002706","regulation of lymphocyte mediated immunity",49,8,1.6,6.4,0.00013,0.068,5
"12","GO:0002449","lymphocyte mediated immunity",78,10,2.5,7.5,0.00016,0.076,4
"13","GO:0002228","natural killer cell mediated immunity",18,5,0.6,4.4,2e-04,0.092,8.6
"14","GO:0001912","positive regulation of leukocyte mediated cytotoxicity",18,5,0.6,4.4,2e-04,0.092,8.6
"15","GO:0005886","plasma membrane",936,47,30.3,16.7,0.00023,0.1,1.6
"16","GO:0071944","cell periphery",1009,49,32.6,16.4,0.00036,0.162,1.5
"17","GO:0014812","muscle cell migration",21,5,0.7,4.3,0.00043,0.196,7.4
"18","GO:0014909","smooth muscle cell migration",21,5,0.7,4.3,0.00043,0.196,7.4
"19","GO:0001775","cell activation",250,18,8.1,9.9,0.00083,0.3,2.2
"20","GO:0070527","platelet aggregation",24,5,0.8,4.2,0.00083,0.32,6.4
"21","GO:0002697","regulation of immune effector process",79,9,2.6,6.4,0.00084,0.322,3.5
"22","GO:0002252","immune effector process",135,12,4.4,7.6,0.0011,0.38,2.7
"23","GO:0002705","positive regulation of leukocyte mediated immunity",38,6,1.2,4.8,0.0012,0.4,4.9
"24","GO:0098590","plasma membrane region",238,17,7.7,9.3,0.0013,0.406,2.2
"25","GO:0048522","positive regulation of cellular process",811,40,26.2,13.8,0.0015,0.434,1.5
"26","GO:0002699","positive regulation of immune effector process",55,7,1.8,5.2,0.0017,0.482,3.9
"27","GO:0002456","T cell mediated immunity",28,5,0.9,4.1,0.0017,0.506,5.5
"28","GO:0098609","cell-cell adhesion",204,15,6.6,8.4,0.0019,0.526,2.3
"29","GO:0019955","cytokine binding",42,6,1.4,4.6,0.002,0.54,4.4
"30","GO:0048518","positive regulation of biological process",908,43,29.4,13.6,0.002,0.562,1.5
"31","GO:0007599","hemostasis",74,8,2.4,5.6,0.0023,0.58,3.3
"32","GO:0034109","homotypic cell-cell adhesion",30,5,1,4,0.0024,0.592,5.2
"33","GO:0030029","actin filament-based process",152,12,4.9,7.1,0.0031,0.646,2.4
"34","GO:0016020","membrane",1345,57,43.5,13.5,0.0035,0.668,1.3
"35","GO:0030168","platelet activation",47,6,1.5,4.5,0.0036,0.674,3.9
"36","GO:0046983","protein dimerization activity",156,12,5,7,0.0039,0.694,2.4
"37","GO:0008037","cell recognition",48,6,1.6,4.4,0.004,0.696,3.9
"38","GO:0007167","enzyme linked receptor protein signaling pathway",158,12,5.1,6.9,0.0043,0.72,2.3
"39","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",49,6,1.6,4.4,0.0044,0.734,3.8
"40","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",49,6,1.6,4.4,0.0044,0.734,3.8
"41","GO:0007155","cell adhesion",313,19,10.1,8.9,0.0044,0.734,1.9
"42","GO:0002708","positive regulation of lymphocyte mediated immunity",35,5,1.1,3.9,0.0048,0.754,4.4
"43","GO:0032535","regulation of cellular component size",67,7,2.2,4.8,0.0053,0.772,3.2
"44","GO:0002819","regulation of adaptive immune response",51,6,1.6,4.4,0.0054,0.784,3.6
"45","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway",105,9,3.4,5.6,0.0061,0.806,2.7
"46","GO:0006950","response to stress",602,30,19.5,10.5,0.0066,0.822,1.5
"47","GO:0032970","regulation of actin filament-based process",70,7,2.3,4.7,0.0067,0.826,3.1
"48","GO:0000323","lytic vacuole",127,10,4.1,5.9,0.0071,0.828,2.4
"49","GO:0005764","lysosome",127,10,4.1,5.9,0.0071,0.828,2.4
"50","GO:0043167","ion binding",743,35,24,11,0.0076,0.83,1.5
"51","GO:0071363","cellular response to growth factor stimulus",109,9,3.5,5.5,0.0078,0.838,2.6
"52","GO:0000904","cell morphogenesis involved in differentiation",129,10,4.2,5.8,0.0079,0.842,2.4
"53","GO:0090066","regulation of anatomical structure size",91,8,2.9,5.1,0.0083,0.848,2.7
"54","GO:0050817","coagulation",73,7,2.4,4.6,0.0085,0.85,3
"55","GO:0007596","blood coagulation",73,7,2.4,4.6,0.0085,0.85,3
"56","GO:0045055","regulated exocytosis",40,5,1.3,3.7,0.0085,0.856,3.9
"57","GO:0042803","protein homodimerization activity",111,9,3.6,5.4,0.0088,0.858,2.5
"58","GO:0043235","receptor complex",92,8,3,5,0.0089,0.858,2.7
"59","GO:0098542","defense response to other organism",195,13,6.3,6.7,0.009,0.858,2.1
"60","GO:0009967","positive regulation of signal transduction",240,15,7.8,7.2,0.009,0.858,1.9
"61","GO:0120025","plasma membrane bounded cell projection",335,19,10.8,8.2,0.0093,0.86,1.8
"62","GO:0009893","positive regulation of metabolic process",485,25,15.7,9.3,0.0093,0.86,1.6
"63","GO:0005887","integral component of plasma membrane",338,19,10.9,8.1,0.01,0.872,1.7
"64","GO:0030036","actin cytoskeleton organization",134,10,4.3,5.7,0.01,0.874,2.3
"65","GO:0009611","response to wounding",134,10,4.3,5.7,0.01,0.874,2.3
"66","GO:0070848","response to growth factor",114,9,3.7,5.3,0.01,0.874,2.4
"67","GO:0050789","regulation of biological process",1467,59,47.4,11.6,0.01,0.89,1.2
"68","GO:0009605","response to external stimulus",466,24,15.1,8.9,0.01,0.894,1.6
"69","GO:0098858","actin-based cell projection",43,5,1.4,3.6,0.01,0.908,3.6
"70","GO:0002520","immune system development",180,12,5.8,6.2,0.01,0.912,2.1
"71","GO:0005773","vacuole",138,10,4.5,5.5,0.01,0.914,2.2
"72","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",79,7,2.6,4.4,0.01,0.914,2.7
"73","GO:0006887","exocytosis",61,6,2,4,0.01,0.914,3
"74","GO:0010604","positive regulation of macromolecule metabolic process",447,23,14.5,8.5,0.01,0.914,1.6
"75","GO:0000902","cell morphogenesis",183,12,5.9,6.1,0.01,0.916,2
"76","GO:0046872","metal ion binding",527,26,17,9,0.01,0.916,1.5
"77","GO:0022408","negative regulation of cell-cell adhesion",45,5,1.5,3.5,0.01,0.924,3.4
"78","GO:0031226","intrinsic component of plasma membrane",349,19,11.3,7.7,0.01,0.924,1.7
"79","GO:0007154","cell communication",945,41,30.6,10.4,0.02,0.932,1.3
"80","GO:0048731","system development",748,34,24.2,9.8,0.02,0.936,1.4
"81","GO:0050878","regulation of body fluid levels",102,8,3.3,4.7,0.02,0.936,2.4
"82","GO:0007275","multicellular organism development",779,35,25.2,9.8,0.02,0.936,1.4
"83","GO:0042995","cell projection",354,19,11.4,7.6,0.02,0.936,1.7
"84","GO:0016773","phosphotransferase activity, alcohol group as acceptor",103,8,3.3,4.7,0.02,0.94,2.4
"85","GO:0098797","plasma membrane protein complex",124,9,4,5,0.02,0.948,2.2
"86","GO:0043207","response to external biotic stimulus",259,15,8.4,6.6,0.02,0.948,1.8
"87","GO:0051707","response to other organism",259,15,8.4,6.6,0.02,0.948,1.8
"88","GO:0005615","extracellular space",511,25,16.5,8.5,0.02,0.948,1.5
"89","GO:0005515","protein binding",1751,67,56.6,10.4,0.02,0.948,1.2
"90","GO:0007166","cell surface receptor signaling pathway",486,24,15.7,8.3,0.02,0.952,1.5
"91","GO:0043169","cation binding",541,26,17.5,8.5,0.02,0.952,1.5
"92","GO:0010628","positive regulation of gene expression",192,12,6.2,5.8,0.02,0.952,1.9
"93","GO:0050730","regulation of peptidyl-tyrosine phosphorylation",49,5,1.6,3.4,0.02,0.956,3.2
"94","GO:0045088","regulation of innate immune response",49,5,1.6,3.4,0.02,0.956,3.2
"95","GO:0031253","cell projection membrane",67,6,2.2,3.8,0.02,0.956,2.8
"96","GO:0009607","response to biotic stimulus",263,15,8.5,6.5,0.02,0.956,1.8
"97","GO:0050794","regulation of cellular process",1411,56,45.6,10.4,0.02,0.958,1.2
"98","GO:0042110","T cell activation",107,8,3.5,4.5,0.02,0.958,2.3
"99","GO:0016301","kinase activity",107,8,3.5,4.5,0.02,0.958,2.3
"100","GO:0001894","tissue homeostasis",50,5,1.6,3.4,0.02,0.964,3.1
"101","GO:0007010","cytoskeleton organization",219,13,7.1,5.9,0.02,0.964,1.8
"102","GO:0048856","anatomical structure development",852,37,27.5,9.5,0.02,0.964,1.3
"103","GO:0048534","hematopoietic or lymphoid organ development",174,11,5.6,5.4,0.02,0.964,2
"104","GO:0030335","positive regulation of cell migration",110,8,3.6,4.4,0.02,0.968,2.2
"105","GO:0001819","positive regulation of cytokine production",110,8,3.6,4.4,0.02,0.968,2.2
"106","GO:0009966","regulation of signal transduction",446,22,14.4,7.6,0.02,0.968,1.5
"107","GO:2000147","positive regulation of cell motility",111,8,3.6,4.4,0.03,0.978,2.2
"108","GO:0002831","regulation of response to biotic stimulus",71,6,2.3,3.7,0.03,0.978,2.6
"109","GO:0004672","protein kinase activity",91,7,2.9,4.1,0.03,0.978,2.4
"110","GO:0002521","leukocyte differentiation",112,8,3.6,4.4,0.03,0.978,2.2
"111","GO:1903131","mononuclear cell differentiation",92,7,3,4,0.03,0.98,2.4
"112","GO:0051272","positive regulation of cellular component movement",113,8,3.7,4.3,0.03,0.98,2.2
"113","GO:0040017","positive regulation of locomotion",113,8,3.7,4.3,0.03,0.98,2.2
"114","GO:0001944","vasculature development",135,9,4.4,4.6,0.03,0.98,2.1
"115","GO:0007165","signal transduction",866,37,28,9,0.03,0.98,1.3
"116","GO:0030217","T cell differentiation",54,5,1.7,3.3,0.03,0.982,2.9
"117","GO:0048583","regulation of response to stimulus",615,28,19.9,8.1,0.03,0.984,1.4
"118","GO:0010647","positive regulation of cell communication",276,15,8.9,6.1,0.03,0.984,1.7
"119","GO:0051130","positive regulation of cellular component organization",181,11,5.9,5.1,0.03,0.984,1.9
"120","GO:0005524","ATP binding",181,11,5.9,5.1,0.03,0.984,1.9
"121","GO:0005102","signaling receptor binding",277,15,9,6,0.03,0.984,1.7
"122","GO:0023056","positive regulation of signaling",277,15,9,6,0.03,0.984,1.7
"123","GO:0045087","innate immune response",159,10,5.1,4.9,0.03,0.984,1.9
"124","GO:0008324","cation transmembrane transporter activity",115,8,3.7,4.3,0.03,0.984,2.2
"125","GO:0060249","anatomical structure homeostasis",55,5,1.8,3.2,0.03,0.988,2.8
"126","GO:0005576","extracellular region",647,29,20.9,8.1,0.03,0.988,1.4
"127","GO:0046649","lymphocyte activation",160,10,5.2,4.8,0.03,0.988,1.9
"128","GO:1901265","nucleoside phosphate binding",255,14,8.2,5.8,0.03,0.988,1.7
"129","GO:0000166","nucleotide binding",255,14,8.2,5.8,0.03,0.988,1.7
"130","GO:0005929","cilium",56,5,1.8,3.2,0.03,0.99,2.8
"131","GO:0007417","central nervous system development",162,10,5.2,4.8,0.03,0.99,1.9
"132","GO:0051240","positive regulation of multicellular organismal process",282,15,9.1,5.9,0.03,0.992,1.6
"133","GO:0031347","regulation of defense response",118,8,3.8,4.2,0.04,0.992,2.1
"134","GO:0022604","regulation of cell morphogenesis",57,5,1.8,3.2,0.04,0.992,2.7
"135","GO:0032559","adenyl ribonucleotide binding",186,11,6,5,0.04,0.992,1.8
"136","GO:0030554","adenyl nucleotide binding",186,11,6,5,0.04,0.992,1.8
"137","GO:0002366","leukocyte activation involved in immune response",58,5,1.9,3.1,0.04,0.992,2.7
"138","GO:0051128","regulation of cellular component organization",362,18,11.7,6.3,0.04,0.992,1.5
"139","GO:0005829","cytosol",658,29,21.3,7.7,0.04,0.992,1.4
"140","GO:0015629","actin cytoskeleton",99,7,3.2,3.8,0.04,0.992,2.2
"141","GO:0048667","cell morphogenesis involved in neuron differentiation",99,7,3.2,3.8,0.04,0.992,2.2
"142","GO:0055085","transmembrane transport",262,14,8.5,5.5,0.04,0.992,1.7
"143","GO:0016772","transferase activity, transferring phosphorus-containing groups",121,8,3.9,4.1,0.04,0.992,2
"144","GO:0002263","cell activation involved in immune response",59,5,1.9,3.1,0.04,0.996,2.6
"145","GO:0007005","mitochondrion organization",59,5,1.9,3.1,0.04,0.996,2.6
"146","GO:0048584","positive regulation of response to stimulus",366,18,11.8,6.2,0.04,0.996,1.5
"147","GO:0030097","hemopoiesis",168,10,5.4,4.6,0.04,0.996,1.8
"148","GO:0050866","negative regulation of cell activation",60,5,1.9,3.1,0.04,0.996,2.6
"149","GO:0030098","lymphocyte differentiation",80,6,2.6,3.4,0.04,0.996,2.3
"150","GO:0032103","positive regulation of response to external stimulus",101,7,3.3,3.7,0.04,0.996,2.1
"151","GO:0031325","positive regulation of cellular metabolic process",393,19,12.7,6.3,0.04,0.996,1.5
"152","GO:0051173","positive regulation of nitrogen compound metabolic process",368,18,11.9,6.1,0.04,0.996,1.5
"153","GO:0051174","regulation of phosphorus metabolic process",217,12,7,5,0.04,0.996,1.7
"154","GO:0019220","regulation of phosphate metabolic process",217,12,7,5,0.04,0.996,1.7
"155","GO:0032101","regulation of response to external stimulus",193,11,6.2,4.8,0.04,0.996,1.8
"156","GO:0002250","adaptive immune response",124,8,4,4,0.05,0.996,2
"157","GO:0046873","metal ion transmembrane transporter activity",81,6,2.6,3.4,0.05,0.998,2.3
"158","GO:0042802","identical protein binding",292,15,9.4,5.6,0.05,0.998,1.6
"159","GO:0019222","regulation of metabolic process",752,32,24.3,7.7,0.05,0.998,1.3
"160","GO:0048468","cell development",344,17,11.1,5.9,0.05,0.998,1.5
"161","GO:0051234","establishment of localization",697,30,22.5,7.5,0.05,0.998,1.3
"162","GO:0016043","cellular component organization",811,34,26.2,7.8,0.05,0.998,1.3
"163","GO:0006468","protein phosphorylation",244,13,7.9,5.1,0.05,0.998,1.6
"164","GO:0032956","regulation of actin cytoskeleton organization",62,5,2,3,0.05,0.998,2.5
"165","GO:0036094","small molecule binding",320,16,10.3,5.7,0.05,0.998,1.5
"166","GO:0022407","regulation of cell-cell adhesion",104,7,3.4,3.6,0.05,0.998,2.1
"167","GO:0022890","inorganic cation transmembrane transporter activity",104,7,3.4,3.6,0.05,0.998,2.1
"168","GO:0006810","transport",671,29,21.7,7.3,0.05,0.998,1.3
"169","GO:0035639","purine ribonucleoside triphosphate binding",221,12,7.1,4.9,0.05,0.998,1.7
"170","GO:0006955","immune response",348,17,11.3,5.7,0.05,0.998,1.5
"171","GO:1902105","regulation of leukocyte differentiation",63,5,2,3,0.05,0.998,2.5
"172","GO:0005509","calcium ion binding",105,7,3.4,3.6,0.05,0.998,2.1
"173","GO:0080134","regulation of response to stress",222,12,7.2,4.8,0.05,0.998,1.7
"174","GO:0006928","movement of cell or subcellular component",349,17,11.3,5.7,0.05,0.998,1.5
"175","GO:0005737","cytoplasm",1536,58,49.7,8.3,0.05,0.998,1.2
"176","GO:0071840","cellular component organization or biogenesis",817,34,26.4,7.6,0.05,0.998,1.3
"177","GO:0031966","mitochondrial membrane",64,5,2.1,2.9,0.05,0.998,2.4
"178","GO:0010562","positive regulation of phosphorus metabolic process",152,9,4.9,4.1,0.05,0.998,1.8
"179","GO:0045937","positive regulation of phosphate metabolic process",152,9,4.9,4.1,0.05,0.998,1.8
"180","GO:0016310","phosphorylation",274,14,8.9,5.1,0.05,0.998,1.6
"181","GO:0051493","regulation of cytoskeleton organization",85,6,2.7,3.3,0.05,0.998,2.2
"182","GO:0045321","leukocyte activation",200,11,6.5,4.5,0.06,0.998,1.7
"183","GO:0009790","embryo development",130,8,4.2,3.8,0.06,0.998,1.9
"184","GO:0043410","positive regulation of MAPK cascade",86,6,2.8,3.2,0.06,0.998,2.2
"185","GO:0051716","cellular response to stimulus",1028,41,33.2,7.8,0.06,0.998,1.2
"186","GO:0031224","intrinsic component of membrane",853,35,27.6,7.4,0.06,0.998,1.3
"187","GO:0042330","taxis",131,8,4.2,3.8,0.06,0.998,1.9
"188","GO:0006935","chemotaxis",131,8,4.2,3.8,0.06,0.998,1.9
"189","GO:0022603","regulation of anatomical structure morphogenesis",178,10,5.8,4.2,0.06,0.998,1.7
"190","GO:0060255","regulation of macromolecule metabolic process",682,29,22.1,6.9,0.06,0.998,1.3
"191","GO:0017076","purine nucleotide binding",227,12,7.3,4.7,0.06,0.998,1.6
"192","GO:0032555","purine ribonucleotide binding",227,12,7.3,4.7,0.06,0.998,1.6
"193","GO:0031252","cell leading edge",87,6,2.8,3.2,0.06,0.998,2.1
"194","GO:0007162","negative regulation of cell adhesion",66,5,2.1,2.9,0.06,0.998,2.3
"195","GO:0001667","ameboidal-type cell migration",66,5,2.1,2.9,0.06,0.998,2.3
"196","GO:0018108","peptidyl-tyrosine phosphorylation",66,5,2.1,2.9,0.06,0.998,2.3
"197","GO:0042060","wound healing",109,7,3.5,3.5,0.06,0.998,2
"198","GO:0030334","regulation of cell migration",179,10,5.8,4.2,0.06,0.998,1.7
"199","GO:0032553","ribonucleotide binding",228,12,7.4,4.6,0.06,0.998,1.6
"200","GO:0032989","cellular component morphogenesis",132,8,4.3,3.7,0.06,0.998,1.9
"201","GO:0016021","integral component of membrane",827,34,26.7,7.3,0.06,0.998,1.3
"202","GO:0022857","transmembrane transporter activity",180,10,5.8,4.2,0.06,0.998,1.7
