"","Category ID","Category Name","#Genes Category","#Genes Assigned","#Genes Expected","#Genes Enriched","p-value","Corrected p-value","Fold"
"1","GO:0071944","cell periphery",1755,563,451.7,111.3,5.2e-14,"<0.001",1.2
"2","GO:0005737","cytoplasm",2301,705,592.3,112.7,1.7e-13,"<0.001",1.2
"3","GO:0048731","system development",1567,509,403.3,105.7,2.2e-13,"<0.001",1.3
"4","GO:0007275","multicellular organism development",1613,521,415.2,105.8,2.9e-13,"<0.001",1.3
"5","GO:0005515","protein binding",2234,686,575,111,3.7e-13,"<0.001",1.2
"6","GO:0048856","anatomical structure development",1741,554,448.1,105.9,6.8e-13,"<0.001",1.2
"7","GO:0016020","membrane",2139,658,550.6,107.4,1.6e-12,"<0.001",1.2
"8","GO:0005622","intracellular anatomical structure",2694,799,693.4,105.6,3.7e-12,"<0.001",1.2
"9","GO:0009653","anatomical structure morphogenesis",1017,347,261.8,85.2,1.3e-11,"<0.001",1.3
"10","GO:0071840","cellular component organization or biogenesis",1499,481,385.8,95.2,2.1e-11,"<0.001",1.2
"11","GO:0050794","regulation of cellular process",2568,762,661,101,3.5e-11,"<0.001",1.2
"12","GO:0016043","cellular component organization",1494,478,384.6,93.4,4.4e-11,"<0.001",1.2
"13","GO:0050789","regulation of biological process",2675,788,688.5,99.5,5.9e-11,"<0.001",1.1
"14","GO:0065008","regulation of biological quality",1175,387,302.4,84.6,1.5e-10,"<0.001",1.3
"15","GO:0030154","cell differentiation",1334,431,343.4,87.6,1.7e-10,"<0.001",1.3
"16","GO:0048869","cellular developmental process",1346,434,346.5,87.5,2e-10,"<0.001",1.3
"17","GO:0048522","positive regulation of cellular process",1557,491,400.8,90.2,2.8e-10,"<0.001",1.2
"18","GO:0030054","cell junction",768,268,197.7,70.3,5.2e-10,"<0.001",1.4
"19","GO:0006928","movement of cell or subcellular component",812,280,209,71,8e-10,"<0.001",1.3
"20","GO:0005886","plasma membrane",1576,490,405.7,84.3,3.8e-09,"<0.001",1.2
"21","GO:0048518","positive regulation of biological process",1684,519,433.5,85.5,4e-09,"<0.001",1.2
"22","GO:0000902","cell morphogenesis",478,177,123,54,6.4e-09,"<0.001",1.4
"23","GO:0043005","neuron projection",564,203,145.2,57.8,6.4e-09,"<0.001",1.4
"24","GO:0043226","organelle",2417,710,622.1,87.9,7.7e-09,"<0.001",1.1
"25","GO:0048468","cell development",801,272,206.2,65.8,9e-09,"<0.001",1.3
"26","GO:0046872","metal ion binding",948,314,244,70,9.5e-09,"<0.001",1.3
"27","GO:0043169","cation binding",973,321,250.5,70.5,9.9e-09,"<0.001",1.3
"28","GO:0000904","cell morphogenesis involved in differentiation",348,136,89.6,46.4,1e-08,"<0.001",1.5
"29","GO:0007399","nervous system development",880,294,226.5,67.5,1.3e-08,"<0.001",1.3
"30","GO:0051716","cellular response to stimulus",1851,558,476.4,81.6,3.4e-08,"<0.001",1.2
"31","GO:0007155","cell adhesion",613,214,157.8,56.2,4.4e-08,"<0.001",1.4
"32","GO:0048513","animal organ development",1153,368,296.8,71.2,4.4e-08,"<0.001",1.2
