"","Category ID","Category Name","#Genes Category","#Genes Assigned","#Genes Expected","#Genes Enriched","p-value","Corrected p-value","Fold"
"1","GO:0098581","detection of external biotic stimulus",10,6,0.3,5.7,1.9e-07,"<0.001",18.6
"2","GO:0098543","detection of other organism",8,5,0.3,4.7,1.7e-06,"<0.001",19.4
"3","GO:0001726","ruffle",70,12,2.3,9.7,1.7e-06,"2E-3",5.3
"4","GO:0009595","detection of biotic stimulus",14,6,0.5,5.5,2.5e-06,"2E-3",13.3
"5","GO:0006952","defense response",469,34,15.1,18.9,3.7e-06,"2E-3",2.3
"6","GO:0031253","cell projection membrane",127,15,4.1,10.9,1.1e-05,"1.2E-2",3.7
"7","GO:0005829","cytosol",752,45,24.2,20.8,1.4e-05,"1.6E-2",1.9
"8","GO:0050789","regulation of biological process",2675,112,86.1,25.9,1.8e-05,"0.02",1.3
"9","GO:0098542","defense response to other organism",280,23,9,14,2.5e-05,"0.03",2.6
"10","GO:0002831","regulation of response to biotic stimulus",105,13,3.4,9.6,2.6e-05,"0.03",3.8
"11","GO:0050794","regulation of cellular process",2566,108,82.6,25.4,2.8e-05,"0.03",1.3
"12","GO:0031347","regulation of defense response",211,19,6.8,12.2,3.8e-05,"3.7999999999999999E-2",2.8
"13","GO:0002221","pattern recognition receptor signaling pathway",54,9,1.7,7.3,4.6e-05,"4.2000000000000003E-2",5.2
"14","GO:0002684","positive regulation of immune system process",334,25,10.8,14.2,5.2e-05,"0.05",2.3
