"","Category ID","Category Name","#Genes Category","#Genes Assigned","#Genes Expected","#Genes Enriched","p-value","Corrected p-value","Fold"
"1","GO:0034330","cell junction organization",301,119,83.7,35.3,3.7e-06,"<0.001",1.4
"2","GO:0050808","synapse organization",219,91,60.9,30.1,5.2e-06,"2E-3",1.5
"3","GO:0048699","generation of neurons",586,209,162.9,46.1,5.8e-06,"2E-3",1.3
"4","GO:0007399","nervous system development",815,278,226.6,51.4,9.1e-06,"6.0000000000000001E-3",1.2
"5","GO:0022008","neurogenesis",625,220,173.8,46.2,9.2e-06,"6.0000000000000001E-3",1.3
"6","GO:0045202","synapse",539,193,149.8,43.2,1.1e-05,"8.0000000000000002E-3",1.3
"7","GO:0030182","neuron differentiation",531,189,147.6,41.4,2e-05,"2.1999999999999999E-2",1.3
"8","GO:0048666","neuron development",445,162,123.7,38.3,2.1e-05,"2.1999999999999999E-2",1.3
"9","GO:0099572","postsynaptic specialization",195,80,54.2,25.8,3.4e-05,"4.3999999999999997E-2",1.5
"10","GO:0098794","postsynapse",304,116,84.5,31.5,3.4e-05,"4.3999999999999997E-2",1.4
