"","Category ID","Category Name","#Genes Category","#Genes Assigned","#Genes Expected","#Genes Enriched","p-value","Corrected p-value","Fold"
"1","GO:0010906","regulation of glucose metabolic process",33,5,0.7,4.3,0.00044,0.206,7.6
"2","GO:0010675","regulation of cellular carbohydrate metabolic process",44,5,0.9,4.1,0.0017,0.484,5.7
"3","GO:0048285","organelle fission",97,7,1.9,5.1,0.0031,0.642,3.6
"4","GO:0060249","anatomical structure homeostasis",98,7,2,5,0.0032,0.652,3.6
"5","GO:0006006","glucose metabolic process",51,5,1,4,0.0033,0.656,4.9
"6","GO:0006109","regulation of carbohydrate metabolic process",52,5,1,4,0.0036,0.672,4.8
"7","GO:0031625","ubiquitin protein ligase binding",53,5,1.1,3.9,0.0039,0.686,4.7
"8","GO:0044389","ubiquitin-like protein ligase binding",54,5,1.1,3.9,0.0042,0.714,4.6
"9","GO:0019318","hexose metabolic process",59,5,1.2,3.8,0.0062,0.784,4.2
"10","GO:0043227","membrane-bounded organelle",2167,56,43.3,12.7,0.0068,0.794,1.3
"11","GO:0000280","nuclear division",88,6,1.8,4.2,0.008,0.83,3.4
"12","GO:0005996","monosaccharide metabolic process",63,5,1.3,3.7,0.0081,0.834,4
"13","GO:0055086","nucleobase-containing small molecule metabolic process",118,7,2.4,4.6,0.0089,0.842,3
"14","GO:0007018","microtubule-based movement",92,6,1.8,4.2,0.0098,0.85,3.3
"15","GO:1990234","transferase complex",93,6,1.9,4.1,0.01,0.862,3.2
"16","GO:0072521","purine-containing compound metabolic process",94,6,1.9,4.1,0.01,0.874,3.2
"17","GO:0044262","cellular carbohydrate metabolic process",68,5,1.4,3.6,0.01,0.878,3.7
"18","GO:1903047","mitotic cell cycle process",124,7,2.5,4.5,0.01,0.88,2.8
"19","GO:1901363","heterocyclic compound binding",1010,30,20.2,9.8,0.01,0.882,1.5
"20","GO:0097159","organic cyclic compound binding",1025,30,20.5,9.5,0.01,0.91,1.5
"21","GO:0042176","regulation of protein catabolic process",78,5,1.6,3.4,0.02,0.934,3.2
"22","GO:1902494","catalytic complex",171,8,3.4,4.6,0.02,0.942,2.3
"23","GO:0043226","organelle",2424,59,48.5,10.5,0.02,0.946,1.2
"24","GO:0030163","protein catabolic process",146,7,2.9,4.1,0.03,0.966,2.4
"25","GO:0046879","hormone secretion",85,5,1.7,3.3,0.03,0.97,2.9
"26","GO:0019693","ribose phosphate metabolic process",89,5,1.8,3.2,0.03,0.98,2.8
"27","GO:0044283","small molecule biosynthetic process",120,6,2.4,3.6,0.03,0.98,2.5
"28","GO:0000278","mitotic cell cycle",153,7,3.1,3.9,0.03,0.982,2.3
"29","GO:0034641","cellular nitrogen compound metabolic process",1093,30,21.9,8.1,0.03,0.986,1.4
"30","GO:0043231","intracellular membrane-bounded organelle",2080,51,41.6,9.4,0.03,0.986,1.2
"31","GO:0062012","regulation of small molecule metabolic process",91,5,1.8,3.2,0.03,0.986,2.7
"32","GO:0009914","hormone transport",91,5,1.8,3.2,0.03,0.986,2.7
"33","GO:0005622","intracellular anatomical structure",2645,62,52.9,9.1,0.04,0.99,1.2
"34","GO:0046483","heterocycle metabolic process",974,27,19.5,7.5,0.04,0.99,1.4
"35","GO:0045944","positive regulation of transcription by RNA polymerase II",306,11,6.1,4.9,0.04,0.99,1.8
"36","GO:0051603","proteolysis involved in cellular protein catabolic process",95,5,1.9,3.1,0.04,0.99,2.6
"37","GO:0009896","positive regulation of catabolic process",97,5,1.9,3.1,0.04,0.992,2.6
"38","GO:0043066","negative regulation of apoptotic process",236,9,4.7,4.3,0.05,0.992,1.9
"39","GO:0006139","nucleobase-containing compound metabolic process",944,26,18.9,7.1,0.05,0.994,1.4
"40","GO:0048568","embryonic organ development",168,7,3.4,3.6,0.05,0.996,2.1
"41","GO:0043069","negative regulation of programmed cell death",242,9,4.8,4.2,0.05,0.996,1.9
"42","GO:0043229","intracellular organelle",2323,55,46.5,8.5,0.05,0.996,1.2
"43","GO:0006753","nucleoside phosphate metabolic process",102,5,2,3,0.05,0.996,2.5
"44","GO:0032559","adenyl ribonucleotide binding",320,11,6.4,4.6,0.05,0.996,1.7
"45","GO:0022402","cell cycle process",207,8,4.1,3.9,0.05,0.996,1.9
"46","GO:0006725","cellular aromatic compound metabolic process",1002,27,20,7,0.06,0.996,1.3
"47","GO:0030554","adenyl nucleotide binding",324,11,6.5,4.5,0.06,0.996,1.7
"48","GO:0044257","cellular protein catabolic process",105,5,2.1,2.9,0.06,0.996,2.4
"49","GO:0001501","skeletal system development",176,7,3.5,3.5,0.06,0.998,2
"50","GO:0007017","microtubule-based process",177,7,3.5,3.5,0.06,0.998,2
"51","GO:0010817","regulation of hormone levels",142,6,2.8,3.2,0.06,0.998,2.1
"52","GO:0003676","nucleic acid binding",578,17,11.6,5.4,0.06,0.998,1.5
"53","GO:0031667","response to nutrient levels",109,5,2.2,2.8,0.07,0.998,2.3
"54","GO:1901565","organonitrogen compound catabolic process",218,8,4.4,3.6,0.07,0.998,1.8
"55","GO:0016567","protein ubiquitination",112,5,2.2,2.8,0.07,0.998,2.2
"56","GO:0005524","ATP binding",300,10,6,4,0.08,0.998,1.7
"57","GO:0022414","reproductive process",381,12,7.6,4.4,0.08,0.998,1.6
"58","GO:0051301","cell division",114,5,2.3,2.7,0.08,0.998,2.2
"59","GO:0048562","embryonic organ morphogenesis",115,5,2.3,2.7,0.08,0.998,2.2
"60","GO:0009991","response to extracellular stimulus",116,5,2.3,2.7,0.08,0.998,2.2
"61","GO:1901360","organic cyclic compound metabolic process",1044,27,20.9,6.1,0.08,0.998,1.3
