"","Category ID","Category Name","#Genes Category","#Genes Assigned","#Genes Expected","#Genes Enriched","p-value","Corrected p-value","Fold"
"1","GO:0007275","multicellular organism development",1469,28,12.3,15.7,5.7e-07,"<0.001",2.3
"2","GO:0048856","anatomical structure development",1574,29,13.2,15.8,5.8e-07,"<0.001",2.2
"3","GO:0048731","system development",1424,27,12,15,1.4e-06,"2E-3",2.3
"4","GO:0005887","integral component of plasma membrane",460,15,3.9,11.1,2.2e-06,"2E-3",3.9
"5","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",108,8,0.9,7.1,2.3e-06,"2E-3",8.8
"6","GO:0042221","response to chemical",996,22,8.4,13.6,2.6e-06,"2E-3",2.6
"7","GO:0031226","intrinsic component of plasma membrane",487,15,4.1,10.9,4.5e-06,"4.0000000000000001E-3",3.7
"8","GO:0031325","positive regulation of cellular metabolic process",707,18,5.9,12.1,5.2e-06,"4.0000000000000001E-3",3
"9","GO:0009653","anatomical structure morphogenesis",895,20,7.5,12.5,8.9e-06,"6.0000000000000001E-3",2.7
"10","GO:0007167","enzyme linked receptor protein signaling pathway",272,11,2.3,8.7,9.5e-06,"6.0000000000000001E-3",4.8
"11","GO:0009893","positive regulation of metabolic process",822,19,6.9,12.1,1.1e-05,"6.0000000000000001E-3",2.8
"12","GO:0043491","protein kinase B signaling",62,6,0.5,5.5,1.1e-05,"6.0000000000000001E-3",11.5
"13","GO:0048519","negative regulation of biological process",1267,24,10.6,13.4,1.1e-05,"6.0000000000000001E-3",2.3
"14","GO:0042127","regulation of cell population proliferation",458,14,3.8,10.2,1.1e-05,"6.0000000000000001E-3",3.6
"15","GO:0051173","positive regulation of nitrogen compound metabolic process",671,17,5.6,11.4,1.2e-05,"6.0000000000000001E-3",3
"16","GO:0010604","positive regulation of macromolecule metabolic process",751,18,6.3,11.7,1.2e-05,"6.0000000000000001E-3",2.9
"17","GO:0071495","cellular response to endogenous stimulus",352,12,3,9,2e-05,"0.01",4.1
"18","GO:0065008","regulation of biological quality",1032,21,8.7,12.3,2.1e-05,"1.2E-2",2.4
"19","GO:0022008","neurogenesis",625,16,5.2,10.8,2.1e-05,"1.2E-2",3
"20","GO:0030054","cell junction",714,17,6,11,2.7e-05,"1.4E-2",2.8
"21","GO:0051094","positive regulation of developmental process",441,13,3.7,9.3,3.9e-05,"1.4E-2",3.5
"22","GO:0050789","regulation of biological process",2384,33,20,13,3.9e-05,"1.4E-2",1.6
"23","GO:0048699","generation of neurons",586,15,4.9,10.1,4.3e-05,"1.6E-2",3
"24","GO:2000026","regulation of multicellular organismal development",449,13,3.8,9.2,4.7e-05,"1.7999999999999999E-2",3.4
"25","GO:0008283","cell population proliferation",519,14,4.4,9.6,4.8e-05,"1.7999999999999999E-2",3.2
"26","GO:0007166","cell surface receptor signaling pathway",668,16,5.6,10.4,4.9e-05,"1.7999999999999999E-2",2.9
"27","GO:0008284","positive regulation of cell population proliferation",266,10,2.2,7.8,5e-05,"1.7999999999999999E-2",4.5
"28","GO:0050793","regulation of developmental process",750,17,6.3,10.7,5.2e-05,"1.7999999999999999E-2",2.7
"29","GO:2000145","regulation of cell motility",326,11,2.7,8.3,5.2e-05,"1.7999999999999999E-2",4
"30","GO:0051896","regulation of protein kinase B signaling",50,5,0.4,4.6,5.2e-05,"1.7999999999999999E-2",11.9
"31","GO:0009888","tissue development",596,15,5,10,5.3e-05,"1.7999999999999999E-2",3
"32","GO:0098978","glutamatergic synapse",216,9,1.8,7.2,5.7e-05,"0.02",5
"33","GO:0071944","cell periphery",1496,25,12.6,12.4,6.1e-05,"2.1999999999999999E-2",2
"34","GO:0043235","receptor complex",170,8,1.4,6.6,6.7e-05,"2.1999999999999999E-2",5.6
"35","GO:0034329","cell junction assembly",170,8,1.4,6.6,6.7e-05,"2.1999999999999999E-2",5.6
"36","GO:0045202","synapse",539,14,4.5,9.5,7.3e-05,"2.5999999999999999E-2",3.1
"37","GO:0040012","regulation of locomotion",339,11,2.8,8.2,7.5e-05,"2.5999999999999999E-2",3.9
"38","GO:0055007","cardiac muscle cell differentiation",54,5,0.5,4.5,7.6e-05,"2.5999999999999999E-2",11
"39","GO:0098982","GABA-ergic synapse",55,5,0.5,4.5,8.4e-05,"3.2000000000000001E-2",10.8
"40","GO:0098609","cell-cell adhesion",283,10,2.4,7.6,8.4e-05,"3.2000000000000001E-2",4.2
"41","GO:0048522","positive regulation of cellular process",1322,23,11.1,11.9,8.7e-05,"3.4000000000000002E-2",2.1
"42","GO:0048518","positive regulation of biological process",1429,24,12,12,9.4e-05,"3.7999999999999999E-2",2
"43","GO:0009719","response to endogenous stimulus",413,12,3.5,8.5,9.6e-05,"3.7999999999999999E-2",3.5
"44","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway",183,8,1.5,6.5,0.00011,"4.3999999999999997E-2",5.2
"45","GO:0051716","cellular response to stimulus",1549,25,13,12,0.00012,"4.3999999999999997E-2",1.9
"46","GO:0051270","regulation of cellular component movement",358,11,3,8,0.00012,"4.5999999999999999E-2",3.7
"47","GO:0048523","negative regulation of cellular process",1164,21,9.8,11.2,0.00014,"4.8000000000000001E-2",2.1
