"","Category ID","Category Name","#Genes Category","#Genes Assigned","#Genes Expected","#Genes Enriched","p-value","Corrected p-value","Fold"
"1","GO:0071944","cell periphery",1496,179,111.6,67.4,1.8e-14,"<0.001",1.6
"2","GO:0045202","synapse",539,89,40.2,48.8,3.5e-14,"<0.001",2.2
"3","GO:0030054","cell junction",714,103,53.3,49.7,1.9e-12,"<0.001",1.9
"4","GO:0098794","postsynapse",304,57,22.7,34.3,1.9e-11,"<0.001",2.5
"5","GO:0005886","plasma membrane",1343,156,100.2,55.8,5.5e-11,"<0.001",1.6
"6","GO:0045211","postsynaptic membrane",168,37,12.5,24.5,9.3e-10,"<0.001",3
"7","GO:0098978","glutamatergic synapse",216,43,16.1,26.9,1.1e-09,"<0.001",2.7
"8","GO:0031226","intrinsic component of plasma membrane",487,73,36.3,36.7,1.4e-09,"<0.001",2
"9","GO:0097060","synaptic membrane",222,43,16.6,26.4,2.7e-09,"<0.001",2.6
"10","GO:0022008","neurogenesis",625,86,46.6,39.4,2.8e-09,"<0.001",1.8
"11","GO:0043005","neuron projection",548,78,40.9,37.1,3.9e-09,"<0.001",1.9
"12","GO:0005887","integral component of plasma membrane",460,68,34.3,33.7,1e-08,"<0.001",2
"13","GO:0098948","intrinsic component of postsynaptic specialization membrane",69,21,5.1,15.9,1.2e-08,"<0.001",4.1
"14","GO:0099536","synaptic signaling",294,50,21.9,28.1,1.3e-08,"<0.001",2.3
"15","GO:0048699","generation of neurons",586,80,43.7,36.3,1.7e-08,"<0.001",1.8
"16","GO:0050808","synapse organization",219,41,16.3,24.7,1.8e-08,"<0.001",2.5
"17","GO:0098797","plasma membrane protein complex",197,38,14.7,23.3,2.7e-08,"<0.001",2.6
"18","GO:0099060","integral component of postsynaptic specialization membrane",66,20,4.9,15.1,2.9e-08,"<0.001",4.1
"19","GO:0099240","intrinsic component of synaptic membrane",137,30,10.2,19.8,4.5e-08,"<0.001",2.9
"20","GO:0007399","nervous system development",815,100,60.8,39.2,5.6e-08,"<0.001",1.6
"21","GO:0099572","postsynaptic specialization",195,37,14.5,22.5,6.7e-08,"<0.001",2.5
"22","GO:0098936","intrinsic component of postsynaptic membrane",104,25,7.8,17.2,9.2e-08,"<0.001",3.2
"23","GO:0016020","membrane",1943,193,144.9,48.1,1.1e-07,"<0.001",1.3
"24","GO:0043269","regulation of ion transport",250,43,18.6,24.4,1.1e-07,"<0.001",2.3
"25","GO:0032279","asymmetric synapse",185,35,13.8,21.2,1.7e-07,"2E-3",2.5
"26","GO:0099634","postsynaptic specialization membrane",86,22,6.4,15.6,1.7e-07,"2E-3",3.4
"27","GO:0042391","regulation of membrane potential",186,35,13.9,21.1,1.9e-07,"2E-3",2.5
"28","GO:0034765","regulation of ion transmembrane transport",170,33,12.7,20.3,2e-07,"2E-3",2.6
"29","GO:0048666","neuron development",445,63,33.2,29.8,2.1e-07,"2E-3",1.9
"30","GO:0003008","system process",599,78,44.7,33.3,2.2e-07,"2E-3",1.7
"31","GO:0098984","neuron to neuron synapse",196,36,14.6,21.4,2.4e-07,"2E-3",2.5
"32","GO:0099537","trans-synaptic signaling",285,46,21.3,24.7,2.7e-07,"2E-3",2.2
"33","GO:0048468","cell development",733,90,54.7,35.3,3.2e-07,"2E-3",1.6
"34","GO:0031175","neuron projection development",392,57,29.2,27.8,3.5e-07,"2E-3",1.9
"35","GO:0098916","anterograde trans-synaptic signaling",280,45,20.9,24.1,4.1e-07,"2E-3",2.2
"36","GO:0007268","chemical synaptic transmission",280,45,20.9,24.1,4.1e-07,"2E-3",2.2
"37","GO:0098590","plasma membrane region",475,65,35.4,29.6,4.7e-07,"2E-3",1.8
"38","GO:0065008","regulation of biological quality",1032,116,77,39,4.8e-07,"2E-3",1.5
"39","GO:0007155","cell adhesion",468,64,34.9,29.1,6e-07,"2E-3",1.8
"40","GO:0030182","neuron differentiation",531,70,39.6,30.4,6.7e-07,"2E-3",1.8
"41","GO:0120025","plasma membrane bounded cell projection",724,88,54,34,7.3e-07,"2E-3",1.6
"42","GO:0099146","intrinsic component of postsynaptic density membrane",53,16,4,12,7.7e-07,"2E-3",4
"43","GO:0014069","postsynaptic density",181,33,13.5,19.5,9.3e-07,"2E-3",2.4
"44","GO:0034703","cation channel complex",102,23,7.6,15.4,1e-06,"2E-3",3
"45","GO:0051049","regulation of transport",496,66,37,29,1.1e-06,"2E-3",1.8
"46","GO:0034762","regulation of transmembrane transport",191,34,14.2,19.8,1.1e-06,"2E-3",2.4
"47","GO:0050839","cell adhesion molecule binding",126,26,9.4,16.6,1.3e-06,"2E-3",2.8
"48","GO:0034330","cell junction organization",301,46,22.5,23.5,1.3e-06,"2E-3",2
"49","GO:0030424","axon",302,46,22.5,23.5,1.5e-06,"2E-3",2
"50","GO:0031224","intrinsic component of membrane",1291,136,96.3,39.7,1.5e-06,"2E-3",1.4
"51","GO:0099061","integral component of postsynaptic density membrane",50,15,3.7,11.3,1.9e-06,"2E-3",4
"52","GO:0099055","integral component of postsynaptic membrane",98,22,7.3,14.7,1.9e-06,"2E-3",3
"53","GO:0042995","cell projection",752,89,56.1,32.9,2e-06,"2E-3",1.6
"54","GO:0036477","somatodendritic compartment",394,55,29.4,25.6,2.2e-06,"2E-3",1.9
"55","GO:0050877","nervous system process",395,55,29.5,25.5,2.4e-06,"2E-3",1.9
"56","GO:0031344","regulation of cell projection organization",242,39,18.1,20.9,2.4e-06,"2E-3",2.2
"57","GO:0098796","membrane protein complex",308,46,23,23,2.6e-06,"2E-3",2
"58","GO:0030001","metal ion transport",261,41,19.5,21.5,2.6e-06,"2E-3",2.1
"59","GO:0098660","inorganic ion transmembrane transport",261,41,19.5,21.5,2.6e-06,"2E-3",2.1
"60","GO:0098655","cation transmembrane transport",262,41,19.5,21.5,2.9e-06,"2E-3",2.1
"61","GO:0030030","cell projection organization",511,66,38.1,27.9,3.1e-06,"2E-3",1.7
"62","GO:0034702","ion channel complex",132,26,9.8,16.2,3.2e-06,"2E-3",2.6
"63","GO:0006812","cation transport",340,49,25.4,23.6,3.4e-06,"4.0000000000000001E-3",1.9
"64","GO:0099699","integral component of synaptic membrane",125,25,9.3,15.7,3.7e-06,"4.0000000000000001E-3",2.7
"65","GO:0099177","regulation of trans-synaptic signaling",211,35,15.7,19.3,4.2e-06,"6.0000000000000001E-3",2.2
"66","GO:0050804","modulation of chemical synaptic transmission",211,35,15.7,19.3,4.2e-06,"6.0000000000000001E-3",2.2
"67","GO:0120035","regulation of plasma membrane bounded cell projection organization",239,38,17.8,20.2,4.6e-06,"6.0000000000000001E-3",2.1
"68","GO:0022832","voltage-gated channel activity",74,18,5.5,12.5,5.1e-06,"6.0000000000000001E-3",3.3
"69","GO:0005244","voltage-gated ion channel activity",74,18,5.5,12.5,5.1e-06,"6.0000000000000001E-3",3.3
"70","GO:0098793","presynapse",233,37,17.4,19.6,6.4e-06,"6.0000000000000001E-3",2.1
"71","GO:0034220","ion transmembrane transport",340,48,25.4,22.6,7.8e-06,"8.0000000000000002E-3",1.9
"72","GO:0120036","plasma membrane bounded cell projection organization",504,64,37.6,26.4,8.1e-06,"8.0000000000000002E-3",1.7
"73","GO:1990351","transporter complex",148,27,11,16,9.4e-06,"0.01",2.4
"74","GO:0098662","inorganic cation transmembrane transport",228,36,17,19,9.8e-06,"0.01",2.1
"75","GO:0007267","cell-cell signaling",507,64,37.8,26.2,9.9e-06,"0.01",1.7
"76","GO:0005261","cation channel activity",124,24,9.3,14.7,1.1e-05,"0.01",2.6
"77","GO:0031503","protein-containing complex localization",64,16,4.8,11.2,1.2e-05,"1.4E-2",3.4
"78","GO:0016021","integral component of membrane",1241,128,92.6,35.4,1.2e-05,"1.4E-2",1.4
