"","gene_id","gene_type","gene_short_name"
"ENSG00000188257","ENSG00000188257","protein_coding","PLA2G2A"
"ENSG00000173372","ENSG00000173372","protein_coding","C1QA"
"ENSG00000159189","ENSG00000159189","protein_coding","C1QC"
"ENSG00000188822","ENSG00000188822","protein_coding","CNR2"
"ENSG00000188672","ENSG00000188672","protein_coding","RHCE"
"ENSG00000187513","ENSG00000187513","protein_coding","GJA4"
"ENSG00000142937","ENSG00000142937","protein_coding","RPS8"
"ENSG00000187048","ENSG00000187048","protein_coding","CYP4A11"
"ENSG00000162365","ENSG00000162365","protein_coding","CYP4A22"
"ENSG00000177606","ENSG00000177606","protein_coding","JUN"
"ENSG00000162599","ENSG00000162599","protein_coding","NFIA"
"ENSG00000132855","ENSG00000132855","protein_coding","ANGPTL3"
"ENSG00000172260","ENSG00000172260","protein_coding","NEGR1"
"ENSG00000162618","ENSG00000162618","protein_coding","ELTD1"
"ENSG00000117114","ENSG00000117114","protein_coding","LPHN2"
"ENSG00000171502","ENSG00000171502","protein_coding","COL24A1"
"ENSG00000069702","ENSG00000069702","protein_coding","TGFBR3"
"ENSG00000152078","ENSG00000152078","protein_coding","TMEM56"
"ENSG00000231992","ENSG00000231992","sense_intronic","RP11-57H12.2"
"ENSG00000099260","ENSG00000099260","protein_coding","PALMD"
"ENSG00000134215","ENSG00000134215","protein_coding","VAV3"
"ENSG00000134240","ENSG00000134240","protein_coding","HMGCS2"
"ENSG00000143140","ENSG00000143140","protein_coding","GJA5"
"ENSG00000143375","ENSG00000143375","protein_coding","CGN"
"ENSG00000163534","ENSG00000163534","protein_coding","FCRL1"
"ENSG00000073754","ENSG00000073754","protein_coding","CD5L"
"ENSG00000231666","ENSG00000231666","lincRNA","RP11-404O13.1"
"ENSG00000163554","ENSG00000163554","protein_coding","SPTA1"
"ENSG00000268387","ENSG00000268387","protein_coding","AL590714.1"
"ENSG00000158874","ENSG00000158874","protein_coding","APOA2"
"ENSG00000198821","ENSG00000198821","protein_coding","CD247"
"ENSG00000198771","ENSG00000198771","protein_coding","RCSD1"
"ENSG00000198734","ENSG00000198734","protein_coding","F5"
"ENSG00000197959","ENSG00000197959","protein_coding","DNM3"
"ENSG00000117601","ENSG00000117601","protein_coding","SERPINC1"
"ENSG00000075391","ENSG00000075391","protein_coding","RASAL2"
"ENSG00000116191","ENSG00000116191","protein_coding","RALGPS2"
"ENSG00000143344","ENSG00000143344","protein_coding","RGL1"
"ENSG00000261024","ENSG00000261024","lincRNA","GS1-279B7.1"
"ENSG00000116690","ENSG00000116690","protein_coding","PRG4"
"ENSG00000000971","ENSG00000000971","protein_coding","CFH"
"ENSG00000244414","ENSG00000244414","protein_coding","CFHR1"
"ENSG00000066279","ENSG00000066279","protein_coding","ASPM"
"ENSG00000143355","ENSG00000143355","protein_coding","LHX9"
"ENSG00000081237","ENSG00000081237","protein_coding","PTPRC"
"ENSG00000203710","ENSG00000203710","protein_coding","CR1"
"ENSG00000197721","ENSG00000197721","protein_coding","CR1L"
"ENSG00000174059","ENSG00000174059","protein_coding","CD34"
"ENSG00000117724","ENSG00000117724","protein_coding","CENPF"
"ENSG00000196482","ENSG00000196482","protein_coding","ESRRG"
"ENSG00000135744","ENSG00000135744","protein_coding","AGT"
"ENSG00000198626","ENSG00000198626","protein_coding","RYR2"
"ENSG00000133019","ENSG00000133019","protein_coding","CHRM3"
"ENSG00000180287","ENSG00000180287","protein_coding","PLD5"
"ENSG00000163009","ENSG00000163009","protein_coding","C2orf48"
"ENSG00000084674","ENSG00000084674","protein_coding","APOB"
"ENSG00000119771","ENSG00000119771","protein_coding","KLHL29"
"ENSG00000138080","ENSG00000138080","protein_coding","EMILIN1"
"ENSG00000049323","ENSG00000049323","protein_coding","LTBP1"
"ENSG00000152689","ENSG00000152689","protein_coding","RASGRP3"
