gene_id,cluster,path
G15,0,path1
G26,1,path1
G41,0,path1
G59,0,path1
G95,1,path1
G129,0,path1
G179,0,path1
G188,1,path1
G203,1,path1
G210,1,path1
G247,1,path1
G258,1,path1
G267,0,path1
G293,0,path1
G312,0,path1
G315,0,path1
G321,1,path1
G344,0,path1
G345,0,path1
G355,0,path1
G359,1,path1
G363,0,path1
G367,0,path1
G372,1,path1
G373,0,path1
G376,1,path1
G406,1,path1
G411,0,path1
G496,0,path1
G537,0,path1
G613,0,path1
G626,0,path1
G698,0,path1
G722,0,path1
G729,0,path1
G731,0,path1
G807,0,path1
G815,1,path1
G842,0,path1
G854,0,path1
G872,1,path1
G885,1,path1
G907,0,path1
G918,0,path1
G920,0,path1
G927,0,path1
G939,1,path1
G946,0,path1
G947,0,path1
G1026,0,path1
G1066,1,path1
G1073,0,path1
G1078,0,path1
G1121,0,path1
G1131,0,path1
G1133,0,path1
G1157,0,path1
G1183,1,path1
G1218,0,path1
G1258,0,path1
G1263,1,path1
G1264,0,path1
G1282,0,path1
G1291,0,path1
G1295,0,path1
G1355,0,path1
G1363,1,path1
G1380,0,path1
G1387,0,path1
G1439,0,path1
G1449,0,path1
G1537,0,path1
G1594,0,path1
G1600,0,path1
G1601,0,path1
G1626,0,path1
G1627,0,path1
G1629,1,path1
G1644,0,path1
G1702,0,path1
G1703,0,path1
G1708,0,path1
G1736,0,path1
G1739,0,path1
G1741,0,path1
G1762,0,path1
G1764,0,path1
G1777,0,path1
G1836,0,path1
G1872,0,path1
G1896,0,path1
G1902,0,path1
G1911,0,path1
G1925,0,path1
G1935,1,path1
G1942,0,path1
G1954,1,path1
G1955,0,path1
G1989,1,path1
G2006,1,path1
G2021,0,path1
G2025,0,path1
G2043,1,path1
G2149,0,path1
G2159,0,path1
G2171,0,path1
G2179,0,path1
G2208,0,path1
G2214,1,path1
G2218,1,path1
G2232,0,path1
G2246,0,path1
G2255,0,path1
G2261,0,path1
G2273,0,path1
G2284,0,path1
G2288,0,path1
G2302,0,path1
G2307,1,path1
G2312,1,path1
G2317,0,path1
G2362,1,path1
G2368,0,path1
G2371,0,path1
G2381,0,path1
G2388,0,path1
G2410,1,path1
G2425,0,path1
G2432,1,path1
G2489,0,path1
G2532,1,path1
G2536,0,path1
G2574,0,path1
G2576,0,path1
G2595,0,path1
G2601,0,path1
G2616,0,path1
G2624,0,path1
G2667,1,path1
G2698,0,path1
G2725,1,path1
G2749,0,path1
G2764,1,path1
G2816,1,path1
G2824,0,path1
G2863,0,path1
G2897,0,path1
G2917,0,path1
G2930,1,path1
G2946,1,path1
G2966,0,path1
G2977,0,path1
G2997,1,path1
G15,0,path2
G41,0,path2
G59,0,path2
G129,0,path2
G210,1,path2
G227,0,path2
G246,0,path2
G265,0,path2
G267,0,path2
G293,0,path2
G344,0,path2
G355,0,path2
G363,0,path2
G372,1,path2
G411,0,path2
G496,0,path2
G537,0,path2
G613,0,path2
G722,0,path2
G729,0,path2
G734,0,path2
G777,0,path2
G807,0,path2
G918,0,path2
G920,0,path2
G940,0,path2
G946,0,path2
G1026,0,path2
G1121,0,path2
G1131,0,path2
G1133,0,path2
G1157,0,path2
G1166,0,path2
G1184,0,path2
G1218,0,path2
G1252,1,path2
G1264,0,path2
G1282,0,path2
G1291,0,path2
G1295,0,path2
G1345,0,path2
G1355,0,path2
G1380,0,path2
G1387,0,path2
G1449,0,path2
G1537,0,path2
G1600,0,path2
G1601,0,path2
G1626,0,path2
G1627,0,path2
G1644,0,path2
G1703,0,path2
G1708,0,path2
G1736,0,path2
G1739,0,path2
G1762,0,path2
G1764,0,path2
G1777,0,path2
G1836,0,path2
G1902,0,path2
G1925,0,path2
G1942,0,path2
G1955,0,path2
G2025,0,path2
G2149,0,path2
G2171,0,path2
G2179,0,path2
G2208,0,path2
G2232,0,path2
G2246,0,path2
G2255,0,path2
G2261,0,path2
G2275,0,path2
G2284,0,path2
G2288,0,path2
G2302,0,path2
G2317,0,path2
G2368,0,path2
G2371,0,path2
G2381,0,path2
G2425,0,path2
G2432,1,path2
G2489,0,path2
G2536,0,path2
G2576,0,path2
G2595,0,path2
G2616,0,path2
G2749,0,path2
G2824,0,path2
G2863,0,path2
G2897,0,path2
G2917,0,path2
G2966,0,path2
G2977,0,path2
